time,roll,pitch,yaw,wx,wy,wz,w_wheel,ke
0.0,0.10050647792124373,0.05028851790791873,0.00012961242330055412,0.0500012,0.029999166666666667,0.0100775,-0.013000000000000001,0.18310749036366664
0.01,0.10101305140680779,0.050576884162318106,0.0002601442474313967,0.05000240926640834,0.029998326854845,0.01015536014072073,-0.026057620248250413,0.18330102694443687
0.02,0.1015197212369377,0.05086509746882301,0.0003915989968615983,0.05000362784165966,0.02999748053405499,0.010233580228666148,-0.039172829766198534,0.1835817443896553
0.03,0.10202648819460562,0.051153156527232596,0.0005239801933364872,0.05000485576815447,0.029996627673826253,0.01031216006870393,-0.05234559731336864,0.18395078152865232
0.04,0.10253335306549682,0.051441060031521824,0.0006572913558557103,0.050006093088258846,0.029995768243698095,0.010391099464058211,-0.06557589138619778,0.18440928135501095
0.05,0.10304031663799607,0.05172880666984308,0.0007915360006511909,0.05000733984430413,0.029994902213219612,0.010470398216302305,-0.07886368021687196,0.1849583910086779
0.060000000000000005,0.10354737970317386,0.05201639512452775,0.0009267176411649831,0.05000859607858666,0.029994029551949766,0.010550056125351438,-0.09220893177216254,0.18559926175791924
0.07,0.10405454305477264,0.05230382407208787,0.001062839788027022,0.050009861833367454,0.029993150229457467,0.010630072989455485,-0.10561161375226306,0.18633304898111874
0.08,0.10456180748919279,0.052591092183217746,0.0011999059490327717,0.050011137150871944,0.029992264215321664,0.0107104486051917,-0.11907169358962638,0.18716091214841965
0.09,0.10506917380547862,0.05287819812279563,0.0013379196291207673,0.05001242207328967,0.02999137147913143,0.010791182767457453,-0.1325891384478021,0.1880840148032085
0.09999999999999999,0.10557664280530414,0.0531651405498854,0.0014768843303500547,0.05001371664277398,0.029990471990486035,0.010872275269462977,-0.14616391522027436,0.18910352454344095
0.10999999999999999,0.10608421529295885,0.053451918117738265,0.0016168035518775248,0.05001502090144175,0.029989565718995054,0.0109537259027241,-0.15979599052930005,0.19022061300280854
0.11999999999999998,0.10659189207533329,0.0537385294737945,0.001757680789935144,0.05001633489137306,0.029988652634278433,0.011035534457054992,-0.1734853307247472,0.19143645583174668
0.12999999999999998,0.10709967396190458,0.05402497325968518,0.0018995195378070792,0.05001765865461093,0.029987732705966583,0.011117700720560916,-0.18723190188293395,0.1927522326782822
0.13999999999999999,0.1076075617647218,0.054311248111233966,0.002042323285806719,0.05001899223316098,0.029986805903700474,0.01120022447963097,-0.20103566980546766,0.1941691271687215
0.15,0.10811555629839127,0.054597352658458886,0.0021860955212535896,0.050020335668991174,0.029985872197131714,0.01128310551893084,-0.2148966000180845,0.19568832688817683
0.16,0.1086236583800617,0.05488328552557415,0.002330839728450165,0.050021689004031485,0.029984931555922637,0.01136634362139555,-0.22881465776948945,0.19731102336093184
0.17,0.10913186882940927,0.055169045330992,0.0024765593886585716,0.0500230522801736,0.0299839839497464,0.011449938568222226,-0.24278980803019654,0.19903841203064546
0.18000000000000002,0.10964018846862256,0.05545463068732454,0.002623257980077188,0.05002442553927062,0.02998302934828706,0.011533890138862843,-0.25682201549136957,0.20087169224039275
0.19000000000000003,0.11014861812238738,0.055740040201385656,0.0027709389778171408,0.05002580882313675,0.029982067721239677,0.01161819811101699,-0.27091124456366317,0.20281206721254325
0.20000000000000004,0.11065715861787151,0.0560252724741929,0.0029196058538786883,0.050027202173547,0.02998109903831039,0.011702862260624634,-0.28505745937606425,0.2048607440284761
0.21000000000000005,0.11116581078470926,0.05631032610096942,0.003069262077127507,0.05002860563223687,0.02998012326921652,0.011787882361858883,-0.2992606237747339,0.20701893360813087
0.22000000000000006,0.11167457545498603,0.05659519967114593,0.0032199111132708647,0.050030019240902036,0.029979140383686653,0.01187325818711875,-0.31352070132184945,0.2092878506893943
0.23000000000000007,0.11218345346322262,0.05687989176836267,0.0033715564248336894,0.05003144304119805,0.02997815035146073,0.011958989507021933,-0.3278376552944473,0.21166871380732194
0.24000000000000007,0.11269244564635952,0.05716440097047141,0.003524201471134534,0.050032877074740016,0.029977153142290144,0.012045076090397575,-0.3422114486832659,0.21416274527319482
0.25000000000000006,0.1132015528437411,0.0574487258495375,0.0036778497082614304,0.050034321383102306,0.029976148725937832,0.012131517704279048,-0.35664204419158924,0.21677117115340938
0.26000000000000006,0.11371077589709958,0.0577328649718419,0.003832504589047639,0.05003577600781821,0.029975137072178363,0.012218314113896728,-0.3711294042340905,0.21949522124820237
0.2700000000000001,0.11422011565053897,0.05801681689788327,0.003988169563047291,0.05003724099037963,0.029974118150798035,0.012305465082670775,-0.3856734909356767,0.22233612907020742
0.2800000000000001,0.11472957295051892,0.05830058018238005,0.004144848076510922,0.05003871637223678,0.029973091931594968,0.012392970372203913,-0.4002742661303332,0.2252951318228456
0.2900000000000001,0.11523914864583834,0.058584153374272654,0.0043025435723609015,0.050040202194797864,0.029972058384379194,0.012480829742274225,-0.4149316913599687,0.2283734703785473
0.3000000000000001,0.11574884358761904,0.058867535016725536,0.004461259490166749,0.05004169849942875,0.029971017478972756,0.012569042950827931,-0.42964572787326116,0.2315723892568063
0.3100000000000001,0.11625865862928914,0.05915072364712944,0.004620999266120349,0.05004320532745264,0.029969969185209805,0.012657609753972187,-0.4444163366245035,0.23489313660206482
0.3200000000000001,0.1167685946265664,0.059433717797103595,0.004781766333011054,0.05004472272014978,0.029968913472936683,0.012746529905967873,-0.4592434782724504,0.23833696416142974
0.3300000000000001,0.11727865243744152,0.05971651599249794,0.004943564120200681,0.05004625071875711,0.029967850312012035,0.012835803159222395,-0.4741271131791648,0.2419051272622187
0.34000000000000014,0.11778883292216119,0.0599991167533954,0.0051063960535983974,0.05004778936446795,0.029966779672306897,0.012925429264282482,-0.48906720140886556,0.24559888478933647
0.35000000000000014,0.11829913694321106,0.060281518594114174,0.0052702655556355026,0.05004933869843168,0.02996570152370479,0.013015407969826991,-0.5040637027267754,0.24941949916248052
0.36000000000000015,0.11880956536529869,0.06056372002321005,0.005435176045240096,0.050050898761753414,0.029964615836101823,0.013105739022659709,-0.5191165765979687,0.2533682363131756
0.37000000000000016,0.1193201190553362,0.06084571954347878,0.0056011309378116445,0.050052469595493664,0.02996352257940679,0.013196422167702166,-0.534225782186221,0.25744636566163687
0.38000000000000017,0.119830798882423,0.06112751565195843,0.005768133645195428,0.05005405124066802,0.029962421723541258,0.013287457147986445,-0.5493912783528574,0.26165516009346096
0.3900000000000002,0.12034160571782826,0.0614091068399318,0.005936187575656893,0.05005564373824683,0.029961313238439684,0.013378843704647994,-0.5646130236556032,0.26599589593614514
0.4000000000000002,0.12085254043497333,0.06169049159292887,0.006105296133855877,0.05005724712915484,0.029960197094049502,0.013470581576918451,-0.5798909763474335,0.270469852935433
0.4100000000000002,0.12136360390941399,0.06197166839072925,0.006275462720820747,0.0500588614542709,0.02995907326033122,0.013562670502118455,-0.5952250943754241,0.27507831423148754
0.4200000000000002,0.12187479701882266,0.062252635707364674,0.006446690733922404,0.05006048675442762,0.029957941707258528,0.01365511021565048,-0.6106153353796031,0.2798225663348899
0.4300000000000002,0.12238612064297039,0.06253339201112157,0.0066189835668482,0.050062123070411,0.029956802404818392,0.013747900450991658,-0.6260616566918019,0.28470389910246485
0.4400000000000002,0.12289757566370882,0.06281393576454357,0.0067923446095757255,0.05006377044296017,0.029955655323011164,0.013841040939686605,-0.641564015334508,0.2897236057129309
0.45000000000000023,0.12340916296495195,0.06309426542443412,0.006966777248346506,0.050065428912766975,0.029954500431850672,0.013934531411340267,-0.6571223680197178,0.29488298264237617
0.46000000000000024,0.12392088343265786,0.06337437944185913,0.007142284865639574,0.05006709852047569,0.029953337701364328,0.014028371593610745,-0.6727366711477897,0.3001833296395587
0.47000000000000025,0.12443273795481023,0.06365427626214955,0.00731887084014494,0.05006877930668266,0.02995216710159323,0.014122561212202143,-0.688406880806298,0.3056259497010305
0.48000000000000026,0.12494472742139982,0.06393395432490415,0.007496538546736943,0.05007047131193598,0.029950988602592266,0.01421709999085741,-0.7041329527688872,0.3112121490460864
0.49000000000000027,0.12545685272440574,0.06421341206399218,0.007675291356447505,0.050072174576735136,0.029949802174430214,0.014311987651351185,-0.7199148424941273,0.3169432370915355
0.5000000000000002,0.1259691147577767,0.06449264790755617,0.007855132636439263,0.05007388914153066,0.02994860778718985,0.014407223913482653,-0.7357525051243687,0.322820526426296
0.5100000000000002,0.12648151441741204,0.06477166027801465,0.008036065749978597,0.05007561504672381,0.029947405410968048,0.014502808495068395,-0.7516458954845989,0.32884533278581257
0.5200000000000002,0.12699405260114272,0.06505044759206502,0.008218094056408538,0.050077352332666206,0.02994619501587589,0.01459874111193525,-0.7675949680812987,0.3350189750262965
